,balance,stock,label
0,30000000,22500000,normal
1,280000000,48000000,diamond
2,300000000,40666666,diamond
3,54000000,28000000,normal
4,768000000,32000000,vip
5,700000000,77000000,vip
6,54000000,19500000,normal
7,60000000,19000000,normal
8,736000000,25333333,diamond
9,744000000,27333333,diamond
10,752000000,40000000,diamond
11,724000000,28666666,diamond
12,800000000,75000000,vip
13,584000000,43333333,diamond
14,792000000,54000000,vip
15,532000000,46666666,diamond
16,752000000,80000000,vip
17,624000000,32666666,diamond
18,800000000,63000000,vip
19,728000000,42666666,diamond
20,278000000,30000000,normal
21,580000000,28500000,normal
22,246000000,24000000,normal
23,656000000,43333333,diamond
24,272000000,22000000,normal
25,736000000,68000000,vip
26,748000000,64000000,vip
27,776000000,71000000,vip
28,756000000,65000000,vip
29,282000000,28000000,normal
30,512000000,50666666,diamond
31,620000000,43333333,diamond
32,780000000,64000000,vip
33,580000000,25500000,normal
34,584000000,37333333,diamond
35,736000000,32666666,diamond
36,298000000,23500000,normal
37,720000000,25333333,diamond
38,736000000,34000000,diamond
39,268000000,19500000,normal
40,488000000,53333333,diamond
41,692000000,30000000,diamond
42,784000000,25333333,diamond
43,784000000,32000000,diamond
44,624000000,48666666,diamond
45,784000000,68000000,vip
46,688000000,38666666,diamond
47,624000000,44666666,diamond
48,716000000,70000000,diamond
49,760000000,70000000,vip
50,736000000,22000000,normal
51,664000000,40666666,diamond
52,596000000,42000000,diamond
53,264000000,24000000,normal
54,736000000,29333333,diamond
55,548000000,70000000,diamond
56,780000000,60000000,vip
57,712000000,73000000,vip
58,636000000,28000000,diamond
59,282000000,18500000,normal
60,246000000,30500000,normal
61,292000000,17500000,normal
62,292000000,24000000,normal
63,328000000,18000000,normal
64,612000000,41333333,diamond
65,800000000,26666666,diamond
66,756000000,38000000,diamond
67,256000000,20500000,normal
68,756000000,27333333,diamond
69,708000000,38000000,diamond
70,260000000,29000000,normal
71,592000000,42000000,diamond
72,584000000,40000000,diamond
73,268000000,21000000,normal
74,286000000,26000000,normal
75,596000000,47333333,diamond
76,282000000,18000000,normal
77,668000000,36666666,diamond
78,262000000,30000000,normal
79,528000000,50000000,vip
80,316000000,21000000,normal
81,736000000,24000000,diamond
82,572000000,52666666,diamond
83,776000000,26000000,diamond
84,652000000,32666666,diamond
85,268000000,26500000,normal
86,772000000,27333333,diamond
87,274000000,20500000,normal
88,620000000,34000000,diamond
89,264000000,18500000,normal
90,254000000,36500000,normal
91,248000000,29500000,normal
92,676000000,44000000,diamond
93,560000000,46000000,diamond
94,262000000,20000000,normal
95,660000000,38000000,diamond
96,676000000,48000000,diamond
97,752000000,80000000,vip
98,700000000,32000000,vip
